 cookie=0x0, duration=422.478s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=22, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.2,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=422.476s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=22, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=0e:cc:1c:48:f6:76,nw_src=10.0.0.5,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=421.434s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=21, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.3,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=421.432s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=21, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=66:b8:d5:08:ee:b0,nw_src=10.0.0.5,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
 cookie=0x0, duration=420.396s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=20, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.4,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=420.393s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=20, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=22:f7:4e:74:47:50,nw_src=10.0.0.5,nw_dst=10.0.0.4,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:4
 cookie=0x0, duration=419.358s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=19, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.5,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=418.324s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=17, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.6,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=418.321s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=17, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=a2:29:a3:12:d2:47,nw_src=10.0.0.5,nw_dst=10.0.0.6,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:6
 cookie=0x0, duration=417.287s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=16, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ee:13:d0:af:e6:04,dl_dst=06:fc:ca:e8:78:4c,nw_src=10.0.0.7,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:5
 cookie=0x0, duration=417.284s, table=0, n_packets=17, n_bytes=714, idle_timeout=60, idle_age=16, priority=65535,icmp,in_port=5,vlan_tci=0x0000,dl_src=06:fc:ca:e8:78:4c,dl_dst=3e:33:68:38:a4:fc,nw_src=10.0.0.5,nw_dst=10.0.0.7,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:7
