 cookie=0x0, duration=19.815s, table=0, n_packets=6, n_bytes=360, idle_timeout=60, idle_age=19, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=11472,tp_dst=80 actions=drop
 cookie=0x0, duration=19.815s, table=0, n_packets=9, n_bytes=540, idle_timeout=60, idle_age=19, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=3237,tp_dst=80 actions=drop
 cookie=0x0, duration=19.808s, table=0, n_packets=5, n_bytes=480, idle_timeout=60, idle_age=19, priority=65535,tcp,in_port=2,dl_vlan=621,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:01:27:f0,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=33132 actions=drop
 cookie=0x0, duration=19.802s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=19, priority=65535,icmp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:21:28:38:cc:c6,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=19.788s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=19, priority=65535,tcp,in_port=2,dl_vlan=632,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:02:55:53:a0:10,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1605,tp_dst=50371 actions=drop
 cookie=0x0, duration=19.784s, table=0, n_packets=2, n_bytes=120, idle_timeout=60, idle_age=19, priority=65535,icmp,in_port=2,dl_vlan=577,dl_vlan_pcp=0,dl_src=00:11:43:36:c1:58,dl_dst=00:14:4f:17:13:e2,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=drop
 cookie=0x0, duration=19.776s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=19, priority=65535,tcp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:3f:fd,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=1239,tp_dst=80 actions=drop
 cookie=0x0, duration=19.769s, table=0, n_packets=5, n_bytes=480, idle_timeout=60, idle_age=19, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43438 actions=drop
 cookie=0x0, duration=19.769s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=19, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43439 actions=drop
 cookie=0x0, duration=19.769s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=19, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43440 actions=drop
 cookie=0x0, duration=19.769s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=19, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43441 actions=drop
